t_s,current_a,label
1994.459616,1.6816,stall
1994.460618,1.6816,stall
1994.461618,1.6786,stall
1994.46262,1.6755,stall
1994.463621,1.6755,stall
1994.464621,1.6938,stall
1994.465623,1.6755,stall
1994.466625,1.6816,stall
1994.467625,1.6816,stall
1994.468625,1.6816,stall
1994.469627,1.6816,stall
1994.470628,1.6877,stall
1994.471628,1.6816,stall
1994.472628,1.6999,stall
1994.473629,1.6755,stall
1994.474631,1.6755,stall
1994.475633,1.6816,stall
1994.476635,1.6816,stall
1994.477635,1.6816,stall
1994.478637,1.6816,stall
1994.479637,1.6816,stall
1994.480639,1.6938,stall
1994.48164,1.6725,stall
1994.482642,1.6816,stall
1994.483643,1.6877,stall
1994.484643,1.6816,stall
1994.485644,1.6816,stall
1994.486644,1.6755,stall
1994.487645,1.6816,stall
1994.488645,1.6816,stall
1994.489646,1.6816,stall
1994.490648,1.6816,stall
1994.49165,1.6816,stall
1994.49265,1.6816,stall
1994.493652,1.6938,stall
1994.494652,1.6816,stall
1994.495652,1.6816,stall
1994.496652,1.6877,stall
1994.497652,1.6694,stall
1994.498652,1.6755,stall
1994.499653,1.6816,stall
1994.500655,1.6755,stall
1994.501655,1.6877,stall
1994.502656,1.6816,stall
1994.503657,1.6938,stall
1994.504659,1.6877,stall
1994.505659,1.6938,stall
1994.506659,1.6816,stall
1994.507659,1.6816,stall
1994.508661,1.6877,stall
1994.509661,1.6938,stall
1994.510663,1.6877,stall
1994.511665,1.6999,stall
1994.512667,1.6938,stall
1994.513668,1.6938,stall
1994.514668,1.6999,stall
1994.51567,1.6999,stall
1994.51667,1.6816,stall
1994.517671,1.6938,stall
1994.518671,1.6938,stall
1994.519673,1.6938,stall
1994.520675,1.6938,stall
1994.521677,1.6816,stall
1994.522679,1.6938,stall
1994.523679,1.6877,stall
1994.52468,1.6938,stall
1994.525681,1.6877,stall
1994.526681,1.6755,stall
1994.527683,1.6999,stall
1994.528683,1.6786,stall
1994.529683,1.6999,stall
1994.530683,1.6816,stall
1994.531683,1.6816,stall
1994.532683,1.6969,stall
1994.533683,1.6999,stall
1994.534683,1.6816,stall
1994.535685,1.6816,stall
1994.536687,1.6938,stall
1994.537689,1.6938,stall
1994.538691,1.6938,stall
1994.539693,1.6999,stall
1994.540693,1.6877,stall
1994.541693,1.6877,stall
1994.542694,1.6938,stall
1994.543694,1.6999,stall
1994.544694,1.6877,stall
1994.545696,1.6938,stall
1994.546698,1.6999,stall
1994.5477,1.6877,stall
1994.5487,1.6877,stall
1994.5497,1.6694,stall
1994.550701,1.6877,stall
1994.551701,1.706,stall
1994.552702,1.6877,stall
1994.553703,1.6938,stall
1994.554703,1.6938,stall
1994.555705,1.6877,stall
1994.556705,1.6938,stall
1994.557707,1.6999,stall
1994.558707,1.6877,stall
1994.559707,1.6938,stall
1994.560709,1.6908,stall
1994.561709,1.6938,stall
1994.562709,1.6816,stall
1994.563709,1.6938,stall
1994.56471,1.6816,stall
1994.565712,1.6938,stall
1994.566712,1.6969,stall
1994.567713,1.6908,stall
1994.568715,1.6938,stall
1994.569715,1.6816,stall
1994.570717,1.6633,stall
1994.571719,1.6877,stall
1994.572719,1.6999,stall
1994.573719,1.6877,stall
1994.574719,1.6938,stall
1994.575721,1.6816,stall
1994.576723,1.6999,stall
1994.577725,1.6938,stall
1994.578727,1.6877,stall
1994.579728,1.6938,stall
1994.580729,1.706,stall
1994.58173,1.6877,stall
1994.58273,1.6999,stall
1994.58373,1.6938,stall
1994.584731,1.6877,stall
1994.585733,1.6938,stall
1994.586733,1.6999,stall
1994.587733,1.6969,stall
1994.588733,1.6816,stall
1994.589733,1.6877,stall
1994.590733,1.6938,stall
1994.591734,1.6969,stall
1994.592736,1.6877,stall
1994.593736,1.6816,stall
1994.594738,1.6877,stall
1994.595738,1.6816,stall
1994.596738,1.6999,stall
1994.59774,1.6969,stall
1994.59874,1.6877,stall
1994.599742,1.6938,stall
1994.600744,1.6877,stall
1994.601745,1.6938,stall
1994.602745,1.6999,stall
1994.603746,1.6877,stall
1994.604747,1.6694,stall
1994.605748,1.6877,stall
1994.60675,1.6816,stall
1994.607751,1.6938,stall
1994.608752,1.6938,stall
1994.609752,1.6816,stall
1994.610753,1.6877,stall
1994.611754,1.6816,stall
1994.612754,1.6877,stall
1994.613754,1.6938,stall
1994.614754,1.6999,stall
1994.615756,1.6938,stall
1994.616756,1.6999,stall
1994.617757,1.6908,stall
1994.618758,1.6938,stall
1994.619758,1.6999,stall
1994.62076,1.6816,stall
1994.621762,1.6938,stall
1994.622763,1.6816,stall
1994.623765,1.6816,stall
1994.624766,1.6877,stall
1994.625767,1.6877,stall
1994.626768,1.6969,stall
1994.627769,1.6938,stall
1994.628769,1.6877,stall
1994.629771,1.6816,stall
1994.630773,1.6938,stall
1994.631774,1.6999,stall
1994.632774,1.6877,stall
1994.633774,1.706,stall
1994.634774,1.6938,stall
1994.635775,1.6816,stall
1994.636776,1.6877,stall
1994.637776,1.6786,stall
1994.638776,1.6877,stall
1994.639777,1.6816,stall
1994.640778,1.6938,stall
1994.641778,1.6908,stall
1994.64278,1.6938,stall
1994.643782,1.6938,stall
1994.644782,1.6938,stall
1994.645783,1.6938,stall
1994.646783,1.6969,stall
1994.647783,1.6938,stall
1994.648783,1.6816,stall
1994.649784,1.6816,stall
1994.650784,1.6816,stall
1994.651784,1.6877,stall
1994.652784,1.6877,stall
1994.653786,1.6816,stall
1994.654788,1.6877,stall
1994.655788,1.6938,stall
1994.656788,1.6938,stall
1994.657788,1.6938,stall
1994.658788,1.6999,stall
1994.659789,1.6938,stall
1994.66079,1.6938,stall
1994.661792,1.6816,stall
1994.662793,1.706,stall
1994.663793,1.6877,stall
1994.664793,1.6877,stall
1994.665793,1.6999,stall
1994.666795,1.6877,stall
1994.667795,1.6999,stall
1994.668795,1.6999,stall
1994.669795,1.6877,stall
1994.670795,1.6938,stall
1994.671795,1.6999,stall
1994.672795,1.6999,stall
1994.673795,1.6999,stall
1994.674796,1.6938,stall
1994.675796,1.6938,stall
1994.676797,1.6877,stall
1994.677799,1.6877,stall
1994.678799,1.6938,stall
1994.6798,1.6816,stall
1994.680801,1.6938,stall
1994.681801,1.6816,stall
1994.682801,1.6816,stall
1994.683801,1.6938,stall
1994.684802,1.6938,stall
1994.685802,1.6999,stall
1994.686802,1.6938,stall
1994.687804,1.6938,stall
1994.688804,1.6877,stall
1994.689806,1.6816,stall
1994.690808,1.6755,stall
1994.69181,1.6969,stall
1994.692812,1.6877,stall
1994.693814,1.6816,stall
1994.694814,1.6999,stall
1994.695815,1.6877,stall
1994.696816,1.6877,stall
1994.697818,1.6938,stall
1994.698818,1.6816,stall
1994.699818,1.6938,stall
1994.700819,1.6816,stall
1994.701821,1.6816,stall
1994.702821,1.6877,stall
1994.703821,1.6938,stall
1994.704821,1.6969,stall
1994.705821,1.6969,stall
1994.706822,1.6999,stall
1994.707824,1.6816,stall
1994.708824,1.6938,stall
1994.709824,1.6938,stall
1994.710826,1.6999,stall
1994.711827,1.6877,stall
1994.712829,1.6908,stall
1994.713831,1.6938,stall
1994.714832,1.6938,stall
1994.715832,1.6816,stall
1994.716832,1.6877,stall
1994.717833,1.6938,stall
1994.718834,1.6999,stall
1994.719834,1.6938,stall
1994.720834,1.6816,stall
1994.721834,1.6816,stall
1994.722835,1.6908,stall
1994.723837,1.6877,stall
1994.724839,1.6572,stall
1994.72584,1.6877,stall
1994.72684,1.6877,stall
1994.72784,1.6938,stall
1994.72884,1.6938,stall
1994.729841,1.6999,stall
1994.730841,1.6938,stall
1994.731843,1.6938,stall
1994.732843,1.6877,stall
1994.733844,1.6816,stall
1994.734846,1.6938,stall
1994.735848,1.6938,stall
1994.736848,1.6938,stall
1994.737849,1.6938,stall
1994.73885,1.706,stall
1994.739852,1.6908,stall
1994.740852,1.6816,stall
1994.741853,1.6938,stall
1994.742854,1.6877,stall
1994.743855,1.6877,stall
1994.744855,1.6938,stall
1994.745855,1.6816,stall
1994.746857,1.6938,stall
1994.747858,1.6877,stall
1994.74886,1.6877,stall
1994.749861,1.6877,stall
1994.750863,1.6938,stall
1994.751865,1.6999,stall
1994.752867,1.6877,stall
1994.753867,1.6877,stall
1994.754867,1.6816,stall
1994.755867,1.6938,stall
1994.756867,1.6877,stall
1994.757869,1.6999,stall
1994.758869,1.6938,stall
1994.759869,1.6877,stall
1994.760871,1.6969,stall
1994.761872,1.6816,stall
1994.762872,1.6938,stall
1994.763872,1.6938,stall
1994.764872,1.6999,stall
1994.765873,1.6816,stall
1994.766873,1.6755,stall
1994.767875,1.6877,stall
1994.768875,1.6938,stall
1994.769875,1.6908,stall
1994.770875,1.6877,stall
1994.771875,1.6938,stall
1994.772876,1.6938,stall
1994.773876,1.6999,stall
1994.774876,1.6938,stall
1994.775876,1.6755,stall
1994.776876,1.6816,stall
1994.777878,1.6938,stall
